tournament: 31300, best_winning_streak: 299, mean_duration: 674.6, stdev: 119.0181498763949
tournament: 31400, best_winning_streak: 300, mean_duration: 679.94, stdev: 109.15959142466593
tournament: 31500, best_winning_streak: 300, mean_duration: 670.39, stdev: 120.73747512682218
tournament: 31600, best_winning_streak: 300, mean_duration: 664.89, stdev: 113.75200174062873
tournament: 31700, best_winning_streak: 302, mean_duration: 690.78, stdev: 108.60778793438342
tournament: 31800, best_winning_streak: 303, mean_duration: 675.3, stdev: 116.59301008207997
tournament: 31900, best_winning_streak: 305, mean_duration: 657.66, stdev: 121.834660093095
tournament: 32000, best_winning_streak: 305, mean_duration: 651.98, stdev: 132.41366847874883
tournament: 32100, best_winning_streak: 306, mean_duration: 648.02, stdev: 120.50219749033626
tournament: 32200, best_winning_streak: 307, mean_duration: 694.37, stdev: 111.20248693262215
tournament: 32300, best_winning_streak: 308, mean_duration: 679.13, stdev: 111.55990812115256
tournament: 32400, best_winning_streak: 309, mean_duration: 680.38, stdev: 116.73232457207386
tournament: 32500, best_winning_streak: 310, mean_duration: 697.04, stdev: 102.46227793680951
